Gene,P_value,minus_log10_p
Pyridoxal kinase mRNA,0.3805700124847061,0.41956543550644215
GB DEF = Angelman Syndrome Gene; E6-AP ubiquitin protein ligase 3A (UBE3A) mRNA from promoter P1; 5'UTR,0.3806406677967008,0.41948481337908783
Nek2 mRNA for protein kinase,0.3809635829351673,0.41911653741154187
PBI gene,0.3811161146359092,0.41894268767628906
Paired-like homeodomain protein PRX-2 mRNA; partial cds,0.381193047426303,0.4188550290513593
ORF for E6 protein gene extracted from Human papillomavirus 5b genome integrated into human carcinoma DNA,0.38130854877665166,0.41872345791828297
SFN Stratifin,0.38156725005095415,0.4184289079001271
APOE Apolipoprotein E,0.38164121442442744,0.41834473084797785
75 KD INOSITOL-1;4;5-TRISPHOSPHATE 5-PHOSPHATASE PRECURSOR,0.3816745383285187,0.4183068110549713
PIGA Phosphatidylinositol glycan; class A (paroxysmal nocturnal hemoglobinuria),0.38173041494404014,0.41824323560729393
KIAA0045 gene,0.38181935052161,0.4181420654347523
Neuronal DHP-sensitive; voltage-dependent; calcium channel alpha-2b subunit mRNA,0.3819020710207143,0.41804798648023195
CORTICOSTEROID 11-BETA-DEHYDROGENASE; ISOZYME 1,0.381934423020037,0.418011197730539
MYBL1 V-myb avian myeloblastosis viral oncogene homolog-like 1,0.3820375461699631,0.4178939530748512
Cell growth regulator CGR11 mRNA,0.3822452496802077,0.4176579030392319
mRNA in the region near the btk gene involved in a-gamma-globulinemia,0.38232259124076406,0.4175700389903189
Voltage-dependent calcium channel beta-4 subunit mRNA,0.38238460759869297,0.41749959801072256
KIAA0258 gene,0.3825347647556845,0.4173290900385251
(clone CTG-A4) mRNA sequence,0.38264767518236553,0.41720092092994804
TNNI2 Troponin I (skeletal fast),0.38312527693253384,0.41665919421848113
PPP3CA Protein phosphatase 3 (formerly 2B); catalytic subunit; alpha isoform (calcineurin A alpha){alternative products},0.38374033086164594,0.4159625543325707
MTAP Methylthioadenosine phosphorylase,0.38396725542367416,0.4157058105157113
Electron transfer flavoprotein-ubiquinone oxidoreductase [human; fetal liver; mRNA; 2124 nt],0.38411617990041247,0.4155373989179505
GB DEF = Thyroglobulin,0.3844012414438446,0.41521521842456227
17-beta-hydroxysteroid dehydrogenase,0.3846870719033393,0.414892408690285
GB DEF = VAV oncogene,0.3847764025171916,0.41479157013426493
4-HYDROXYPHENYLPYRUVATE DIOXYGENASE,0.38479461680367455,0.41477101228082647
Homeobox gene,0.3848311343983034,0.4147297990292511
M-phase phosphoprotein; mpp9,0.3848519699117573,0.4147062861095256
Smg GDS-associated protein SMAP mRNA,0.38497466131534497,0.41456785442154587
Protease-activated receptor 3 (PAR3) mRNA,0.38514914738832495,0.41437105920731043
PRKCZ Protein kinase C; zeta,0.38526032073897853,0.41424571813855116
GT mitochondrial solute carrier protein homologue mRNA,0.3852873136842311,0.4142152907213362
Ribosomal protein L39,0.3853977176635779,0.4140908615774235
GB DEF = Desert hedgehog (hDHH) mRNA; partial cds,0.3854138675438371,0.41407266308633794
FEZ1-T mRNA; alternatively spliced form,0.3856753988235775,0.41377806270491446
(clone FFE-7) type II inosine monophosphate dehydrogenase (IMPDH2) gene; exons 1-13,0.38576968201441686,0.4136719069441514
MAGE-10 antigen (MAGE10) gene,0.38588113674392754,0.41354645078401153
GB DEF = G protein-coupled receptor GPR-9-6 gene,0.3859397215304672,0.41348052084886205
GB DEF = H4/d gene for H4 histone,0.38595413488072816,0.41346430193888417
GB DEF = SLP-76 associated protein mRNA,0.38596590905290884,0.41345105326618126
Tyrosine Kinase (Gb:Z25436),0.3859859566958431,0.4134284959511729
ADH1 Alcohol dehydrogenase 1 (class I); alpha polypeptide,0.3862252528872402,0.4131593337906109
GB DEF = DNA for histone H3a,0.3862554519941409,0.413125377458992
Major Intrinsic Protein,0.3864814333621822,0.412871364829827
RING1 Ring finger protein 1,0.3866039036780877,0.4127337650583883
Tob family,0.3866229582727403,0.41271236045976045
Tob family,0.3866229582727403,0.41271236045976045
GB DEF = 5' mRNA of PECAM-1 molecule,0.38662656481377156,0.41270830924259994
Protein tyrosine phosphatase sigma mRNA,0.38676182645740553,0.4125563975079389
FHR-2 gene; exon 1,0.38678931099390024,0.4125255362449546
GB DEF = Dioxin-responsive gene {putative polyadenylation signal region} [human; hepatoma G2 cell line; mRNA Partial; 302 nt],0.3868186646371381,0.41249257866000294
ORL1 receptor,0.3870999039771552,0.4121769364108222
GB DEF = POU-domain transcription factor (N-Oct-3),0.3872470479379083,0.4120118842702757
Casein kinase I gamma 2 mRNA,0.3872552399566489,0.41200269708363874
Peroxin 12 (HsPEX12) mRNA,0.38789202180305626,0.41128915291487267
ALPL Alkaline phosphatase; liver/bone/kidney,0.38789293445571016,0.4112881310852837
PUTATIVE TACHYKININ RECEPTOR,0.3879084345256675,0.4112707771719713
SLO Homolog of Drosophila slowpoke (potassium channel; calcium-activated),0.38823877002329743,0.41090109757609294
RPL37 Ribosomal protein L37,0.38840468453196597,0.4107155407256335
SIAT8 Sialyltransferase 8 (alpha-N-acetylneuraminate: alpha-2;8-sialytransferase; GD3 synthase),0.3884989094629956,0.41061019594895637
Unknown 14kDa protein,0.3886301852657362,0.41046347037230074
HRC Histidine-rich calcium binding protein,0.3887058060450711,0.410378972323444
GB DEF = Endothelial PAS domain protein 1 (EPAS1) mRNA,0.3888472431529246,0.410220975756604
Rhodanese,0.3888503177840543,0.41021754178586634
Glutamate Ionotropic Receptor 1,0.38886940948406334,0.41019621940024326
Endothelial Cell Growth Factor 1,0.3892601101132588,0.40976009883850795
Integral membrane protein CII-3 mRNA; nuclear gene encoding mitochondrial protein,0.389358617410699,0.4096502089156961
G-CSF protein gene extracted from Human gene for granulocyte colony-stimulating factor (G-CSF),0.3894040029743939,0.4095995883559077
RAS-RELATED PROTEIN RAB-8,0.3899390911670201,0.4090032248604153
Uncoupling Protein Ucp,0.39022140781008097,0.40868890859922696
GB DEF = GABAa receptor alpha-3 subunit,0.39031362511412415,0.4085862880510672
Tat interactive protein mRNA,0.3904597522050667,0.40842372566910745
T-cell receptor beta-chain J1.3 gene extracted from Human T-cell receptor germline beta-chain D1.1 and J1.1 to J1.6 genes,0.3905347505708744,0.4083403156671
KIAA0106 gene,0.39077045557797274,0.4080782787928039
Succinate Dehydrogenase; Flavoprotein Subunit,0.390879485490936,0.40795712202586376
UDP glucuronosyltransferase precursor (UGT2B15) mRNA,0.391280660009908,0.4075116176207873
RPS11 Ribosomal protein S11,0.39156210834315375,0.4071993417250976
RPS11 Ribosomal protein S11,0.39156210834315375,0.4071993417250976
RPS11 Ribosomal protein S11,0.39156210834315375,0.4071993417250976
RPS11 Ribosomal protein S11,0.39156210834315375,0.4071993417250976
RPS11 Ribosomal protein S11,0.39156210834315375,0.4071993417250976
RPS11 Ribosomal protein S11,0.39156210834315375,0.4071993417250976
Death domain receptor 3 soluble form (DDR3) mRNA; partial cds,0.3917986791810675,0.40693703241821166
Death domain receptor 3 soluble form (DDR3) mRNA; partial cds,0.3917986791810675,0.40693703241821166
LANOSTEROL SYNTHASE,0.3922719703036729,0.40641272316627947
ZNF134 Zinc finger protein 134 (clone pHZ-15),0.39231607171951466,0.40636390008833656
Capping protein alpha mRNA; partial cds,0.392394674839599,0.40627689503181896
GB DEF = Cytochrome P450 (CYP2A13) gene,0.39258716888749423,0.406063898756443
GB DEF = Cytochrome P450 (CYP2A13) gene,0.39258716888749423,0.406063898756443
COAGULATION FACTOR XIII A CHAIN,0.39289014250081966,0.4057288673734934
GUC1A2 Guanylate cyclase 1; soluble; alpha 2,0.39308080602743156,0.40551816208142866
GPRK6 G protein-coupled receptor kinase 6,0.39313446346952163,0.40545888281796727
MAP2 Microtubule-associated protein 2,0.3932357764943023,0.40534697703716704
Nkr-P1a Protein,0.3932597093571727,0.40532054609008356
Kidney epithelial sodium channel gamma subunit (gamma hENaC) mRNA,0.39347399868575206,0.40508396114581885
Statherin,0.39351144152597206,0.4050426358097307
GB DEF = CD58 T7 protein,0.3936516025797475,0.404887976178968
Semaphorin (CD100) mRNA,0.3936948895936482,0.40484022258768143
L23-related mRNA,0.3940937530575903,0.4044004492605571
130 kD Golgi-localized phosphoprotein (GPP130) mRNA,0.39425347010447487,0.4042244754484121
GB DEF = UV-B repressed sequence; HUR 8,0.3946118149567277,0.4038299158053315
Squamous cell carcinama of esophagus mRNA for GRB-7 SH2 domain protein,0.3947167324389439,0.4037144630347448
EPH-RELATED RECEPTOR TYROSINE KINASE LIGAND 1 PRECURSOR,0.39518197961432033,0.40320286755732676
Kidney mRNA for zinc-finger DNA-binding protein,0.3951823627744029,0.40320244647479403
Bumetanide-sensitive Na-K-Cl cotransporter (NKCC1) mRNA,0.39523550478155045,0.4031440488058051
GB DEF = 4R-MAP2=microtubule-associated protein 2 4R isoform [human; brain; mRNA Partial; 1012 nt],0.3955660345131772,0.40278100639939407
Plasma cell membrane glycoprotein (PC-1) mRNA,0.39578737489377336,0.40253806334189457
Forkhead protein FREAC-2 mRNA; partial cds,0.3959620618351938,0.40234642297581136
Moloney Murine Sarcoma Viral Oncogene Homolog,0.3961488813269193,0.4021415661269744
RIG mRNA; complete sequence,0.39639398463149567,0.4018729446538918
Rab28 mRNA,0.39647195023661685,0.40178753290720814
G protein-activated inwardly rectifying potassium channel HGIRK1/Kir3.1 mRNA,0.3966663074847565,0.4015746865812297
GB DEF = Somatostatin receptor subtype 3 (SSTR3) gene,0.39677163324010967,0.4014593848234663
MSN Moesin,0.3967840608585118,0.4014457821333569
Phenylalkylamine binding protein,0.39685265013038706,0.40137071518659173
GB DEF = SLC,0.3968946887756568,0.40132471276040516
2-5A binding protein,0.39693583203265426,0.4012796948654537
Putative calcium influx channel (htrp3) mRNA,0.39723838164542924,0.4009487960993551
HRG Histidine-rich glycoprotein,0.3973442800655682,0.40083303444988266
RLBP1 Cellular retinaldehyde-binding protein,0.39737064128689714,0.4008042227775308
GB DEF = NG-TRA=transporter protein/putative hormone extrusion pump [human; liver and various other tissues; mRNA Partial; 377 nt],0.39742842994016736,0.4007410689712805
Reelin (RELN) mRNA,0.3977021771366781,0.4004420315539804
Kinase Myt1 (Myt1) mRNA,0.39777264812592916,0.40036508339453114
GB DEF = mRNA (clone 1D7),0.39856809735302434,0.39949746654378393
GB DEF = Glutamine transaminase K,0.39859444699090874,0.39946875595666786
Prolactin-Induced Protein,0.39874863888358825,0.3993007863833035
HTK Hepatoma transmembrane kinase,0.39880449338629553,0.39923995707582943
GB DEF = Integrin alpha 8 subunit mRNA; 3' end,0.3988158517291881,0.3992275881194146
WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,0.39907691253549005,0.39894339636648307
WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,0.39907691253549005,0.39894339636648307
MAS1 MAS1 oncogene,0.3992693527616974,0.39873402423413984
RCV1 Recoverin,0.39992637678173837,0.39801995142289404
Ribosomal protein L27a mRNA,0.4001633847327102,0.3977626521716446
Monocyte chemoattractant protein 1 receptor (MCP-1RA) alternatively spliced mRNA,0.40027992127194023,0.3976361943053457
HLA-DQB1 Major histocompatibility complex; class II; DQ beta 1,0.40059163471619186,0.39729812402529296
HLA-DQB1 Major histocompatibility complex; class II; DQ beta 1,0.40059163471619186,0.39729812402529296
DPEP1 Dipeptidase 1 (renal),0.4006860281022244,0.39719580112581876
Thymosin beta-4 mRNA,0.40070381193098636,0.3971765260656324
Thymosin beta-4 mRNA,0.40070381193098636,0.3971765260656324
GB DEF = Nebulin mRNA; partial cds,0.40111699201651063,0.39672894015572624
IGFBP5 Insulin-like growth factor binding protein 5,0.4012827761955142,0.39654948059453254
IGFBP5 Insulin-like growth factor binding protein 5,0.4012827761955142,0.39654948059453254
IGFBP5 Insulin-like growth factor binding protein 5,0.4012827761955142,0.39654948059453254
IL1A Interleukin 1; alpha,0.4014523004063867,0.3963660491423103
D13S824E locus mRNA,0.4020003070456599,0.3957736152036273
HYPOTHETICAL MYELOID CELL LINE PROTEIN 6,0.40207442648852243,0.39569354885211633
Af-6 (Gb:U02478),0.4022169235076931,0.3955396601654823
MYB Proto-oncogene c-myb {alternative products},0.4022951822549852,0.395455168354922
DRA Down-regulated in adenoma,0.40312262800928966,0.3945628234203651
Adipogenesis inhibitory factor,0.40383878422441344,0.3937919742339022
FGFR2 Fibroblast growth factor receptor 2 (bacteria-expressed kinase; keratinocyte growth factor receptor; craniofacial dysostosis 1; Crouzon syndrome; Pfeiffer syndrome; Jackson-Weiss syndrome),0.4038955319056652,0.39373095118615786
Non-Specific Cross Reacting Antigen (Gb:D90277); Alt. Splice Form 2,0.4039995562024026,0.3936191119660126
Non-Specific Cross Reacting Antigen (Gb:D90277); Alt. Splice Form 2,0.4039995562024026,0.3936191119660126
Non-translated mRNA sequence,0.4042318098444194,0.393369513937172
CDK6 Cyclin-dependent kinase 6,0.40435121109625105,0.39324125177030284
GB DEF = H2B/h gene,0.404356304812838,0.39323578088506284
PLCB4 Phospholipase C; beta 4,0.4044198343076064,0.39316755308323187
ATP1AL1 ATP-driven ion pump,0.4045066068694936,0.39307438059427746
Mitochondrial creatine kinase (CKMT) gene,0.4052275277270875,0.3923010600198057
MIA gene,0.40543081279342164,0.39208324795274885
GB DEF = Ribosomal DNA complete repeating unit,0.4054888618668573,0.39202107066662906
KRT19 Keratin 19,0.40556598694981816,0.3919384745312479
ACVR2 Activin A receptor; type II,0.40600598207787486,0.3914675674960276
GB DEF = An acute myeloid leukaemia protein (3917bp),0.40604591223937403,0.39142485729749
CTB Chitobiase; di-N-acetyl-,0.4065431938588787,0.39089330527779753
D9 splice variant A mRNA,0.406547004301121,0.39088923474775494
Elongation factor-1-beta,0.40661822607797105,0.3908131586352975
KIAA0153 gene; partial cds,0.40880629959229997,0.38848242046362147
Enteric smooth muscle gamma-actin gene; 5' flank and,0.4088197179668839,0.38846816571655307
Hr44 protein,0.4091933425465747,0.38807144074386146
FBLN1 Fibulin 1,0.4093121484991019,0.3879453651816896
MAD-related gene SMAD7 (SMAD7) mRNA,0.40936610379558935,0.3878881205010053
UBE2B Ubiquitin-conjugating enzyme E2B (RAD6 homolog),0.4094845509381284,0.3877624786871695
Clone 23587 mRNA sequence,0.4096684681219711,0.38756746208452336
PRG2 Proteoglycan 2; bone marrow (natural killer cell activator; eosinophil granule major basic protein),0.4098644495000283,0.38735974954281005
KIAA0238 gene; partial cds,0.4099202574617212,0.38730061916469705
Tumor susceptiblity protein (TSG101) mRNA,0.4101236744177911,0.3870851603095692
Transcription Factor (Gb:L32162),0.4103100293903943,0.38688786725031765
150 kDa oxygen-regulated protein ORP150 mRNA,0.4103892132235981,0.38680406285490104
(clone S240ii117/zap112) mRNA,0.4105028792648896,0.3866837923948007
GB DEF = CD88 protein,0.41093604753931245,0.38622576051290114
2-oxoglutarate carrier protein,0.4110967896081764,0.3860559147567405
IGHD gene (immunoglobulin delta-chain) extracted from Human germline IgD chain gene; C-region; C-delta-1 domain,0.4111975458554257,0.38594948599874124
CALCB Calcitonin-related polypeptide; beta,0.41121599344621884,0.38593000264516214
GAP binding protein p62dok (DOK) mRNA,0.41192816950377453,0.3851785080150938
KIAA0130 gene,0.4121055980291841,0.38499148599307376
PDE6B Phosphodiesterase 6B; cGMP-specific; rod; beta,0.41264979593386897,0.38441836532457724
PDE6B Phosphodiesterase 6B; cGMP-specific; rod; beta,0.41264979593386897,0.38441836532457724
Clk-associated RS cyclophilin CARS-Cyp mRNA,0.41265770165598925,0.3844100450039636
PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,0.41283200079522153,0.38422664561019954
CHRNB4 Cholinergic receptor; nicotinic; beta polypeptide 4,0.41309681181862656,0.3839481567903488
IGFBP4 Insulin-like growth factor-binding protein 4,0.41316012376370814,0.38388160115309555
GB DEF = RagB protein,0.4134501715060044,0.38357682358170947
PLP Proteolipid protein (Pelizaeus-Merzbacher disease; spastic paraplegia 2; uncomplicated),0.41361318025397753,0.38340563040645215
Nuclear phosphoprotein mRNA,0.41366560121644624,0.3833505918021108
High endothelial venule,0.41374548907503583,0.3832667281539885
Tob,0.4143916648682602,0.38258898863474883
Myosin,0.41478502028904984,0.3821769362831841
Plasma Membrane Calcium Pump Hpmca2a,0.41483007129929483,0.3821297688548883
Defensin 6 (HD-6) gene,0.41505696788247215,0.3818922909046625
GB DEF = Alpha1A-voltage-dependent calcium channel mRNA; splice form BI-1-V2-GGCAG; partial cds,0.4155321324118376,0.38139538730807326
GB DEF = Urocortin gene,0.4155851677370236,0.38133996083794364
PROS1 Plasma protein S ,0.4156374582249921,0.38128531971124324
KIAA0026 gene,0.41568552851494167,0.38123509455922683
GB DEF = Hair keratin; hHb5,0.41599385523769605,0.38091308441188876
COX4 Cytochrome c oxidase subunit IV,0.4160573378068192,0.3808468141396959
Exon2A from  H.sapiens MTCP1 gene; exons 2A to 7 (and joined mRNA)./ntype=DNA /annot=exon,0.4161091062675172,0.38079277986084015
GB DEF = HZF1 mRNA for zinc finger protein,0.41626381143058144,0.3806313435671169
GB DEF = DinG gene,0.416425897279884,0.3804622698050675
DsRNA adenosine deaminase DRADA2b (DRADA2b) mRNA,0.4165730324545184,0.3803088482511586
Bmx mRNA for cytoplasmic tyrosine kinase,0.4166942408418828,0.3801825019134325
SIL mRNA,0.41698619972825246,0.37987831788246296
Centractin; Alpha,0.4171684401647675,0.3796885544658679
AFFX-DapX-3_at (endogenous control),0.41738919094147553,0.3794588019769739
ITGA5 Integrin; alpha 5 (fibronectin receptor; alpha polypeptide),0.41742954216048755,0.3794168184634906
GB DEF = Aspartyl(asparaginyl)beta-hydroxylase [human; hepatoblastoma cell line HepG2; mRNA Partial; 2324 nt],0.4174402905870872,0.3794056359241808
EPHX1 Epoxide hydrolase 1; microsomal (xenobiotic),0.41762797081997305,0.3792104219646904
Zinc-finger protein (ZNFpT17),0.4176312422296786,0.37920702001434736
CHGA Chromogranin A,0.4177376283331363,0.379096403256743
Syntaxin 1A mRNA,0.41773851112344385,0.3790954854783861
CKMT2 Creatine kinase; mitochondrial 2 (sarcomeric),0.4177713001596597,0.379061398272442
MELANOMA-ASSOCIATED ANTIGEN 2,0.4181772385418756,0.3786396095974586
Epstein-Barr Virus Small Rna-Associated Protein,0.41828972103890316,0.3785228075468703
CEL Carboxyl ester lipase (bile salt-stimulated lipase),0.4186200890949735,0.378179934206246
FRK Fyn-related kinase,0.4186551872683406,0.3781435233782723
MST1 Macrophage stimulating 1 (hepatocyte growth factor-like),0.41868638174148354,0.3781111648090587
MST1 Macrophage stimulating 1 (hepatocyte growth factor-like),0.41868638174148354,0.3781111648090587
MST1 Macrophage stimulating 1 (hepatocyte growth factor-like),0.41868638174148354,0.3781111648090587
Methylmalonate semialdehyde dehydrogenase gene,0.41912833876634403,0.3776529739698657
Rab GDI mRNA,0.4192104612963907,0.37756788817459863
Description: orf3 gene extracted from region centromeric to t(12;17) brakepoint: orf1/unknown 43 amino acid transcript...orf3/unknown 50 amino acid transcript [human; testis; acampomelic campomelic dysplasia and sex reversal patient; Genomic; 3 genes; 3414 nt],0.4192481803983682,0.3775288136226825
GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,0.4193090787369902,0.3774657342988105
GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,0.4193090787369902,0.3774657342988105
Peptide transporter (HPEPT1) mRNA,0.4194121355007413,0.3773590075741602
PTMS Parathymosin,0.4194123331040901,0.37735880295913715
HCG V mRNA,0.41954976031819446,0.3772165226779406
Zn-15 related zinc finger protein (rlf) mRNA,0.41957378910424525,0.37719165013277434
Inwardly rectifying potassium channel Kir3.2 mRNA,0.41973538819090783,0.3770244135663601
Nuclear orphan receptor mRNA,0.4198133522685962,0.3769437526894096
Nuclear orphan receptor mRNA,0.4198133522685962,0.3769437526894096
GPD2 Glycerol-3-phosphate dehydrogenase 2 (mitochondrial),0.4202022604164388,0.37654161570030475
UDP-Galactose 4 epimerase (GALE) gene,0.4205888441855953,0.37614225084344566
C7 segment gene extracted from Human (lambda) DNA for immunoglobin light chain,0.4208254027931482,0.37589805221956296
Bak protein mRNA,0.42087133361110585,0.3758506539110146
Bak protein mRNA,0.42087133361110585,0.3758506539110146
Bak protein mRNA,0.42087133361110585,0.3758506539110146
VIP2 receptor,0.42109628055532256,0.375618594584088
PCCA Propionyl-coA carboxylase alpha chain,0.4211275167661611,0.3755863805477425
Plakophilin 2a gene extracted from H.sapiens mRNA for plakophilin 2a and b,0.4213480095386881,0.3753590533587512
Splicing factor (CC1.3) mRNA,0.4214730404196947,0.3752301998563626
ATP2A1 gene (Ca2+ ATPase of fast-twitch skeletal muscle sacroplasmic reticulum; neonatal isoform) extracted from Human Ca2+ ATPase of fast-twitch skeletal muscle sarcoplasmic reticulum adult and neonatal isoforms (ATP2A1) gene,0.42210245315003403,0.37458212383131284
Major Histocompatibility Complex; Class I (Gb:L19693),0.42212233711925207,0.3745616660143644
PROBABLE ATP-DEPENDENT RNA HELICASE P54,0.422160977783295,0.3745219129435968
BRAIN SPECIFIC POLYPEPTIDE PEP-19,0.4223330883587858,0.37434489174890867
CDP-diacylglycerol synthase (CDS) mRNA,0.4223544460883968,0.37432292967716085
GB DEF = Propionyl-CoA carboxylase beta-subunit (beta-PCC) gene; partial cds (mutant delta-ATC),0.4226487479545318,0.37402041323096197
Metabotropic glutamate receptor 4 mRNA,0.42348965759866475,0.3731571914789089
Clone 23815 mRNA sequence,0.42371310957249164,0.37292809883376155
GB DEF = MCP-2 gene,0.42375480763204,0.37288536155293966
Calcitonin,0.4237584810693342,0.37288159676584365
Inward rectifier potassium channel Kir1.2 (Kir1.2) mRNA; partial cds,0.4240083853512919,0.37262555454928453
GB DEF = Mitochondrial ribosomal protein S12,0.4240575091326949,0.37257524197957465
Chromosome 15 Mad homolog Smad6 mRNA,0.4243288498999934,0.37229743977137886
NAGA N-acetylgalactosaminidase; alpha-,0.4249517179367439,0.3716604107139391
ETS2 V-ets avian erythroblastosis virus E26 oncogene homolog 2,0.42536192257996175,0.37124138973548626
Mab-21 cell fate-determining protein homolog (CAGR1) mRNA,0.42584005184909324,0.37075349395681734
NKG5 PROTEIN PRECURSOR,0.4259273974197274,0.37066442340238226
ARF3 ADP-ribosylation factor 3,0.42621693266826266,0.3703693007074247
ARF3 ADP-ribosylation factor 3,0.42621693266826266,0.3703693007074247
HEAT SHOCK FACTOR PROTEIN 1,0.42646596902563483,0.3701156187849647
XDH Xanthine dehydrogenase,0.42661606816198083,0.3699627912150838
Nadh-Ubiquinone Oxidoreductase; 51 Kda Subunit,0.4270729178524214,0.36949796779154637
EDNRA Endothelin receptor type A,0.42708632413385084,0.36948433503137257
Axin (AXIN) mRNA; partial cds,0.4275105926256336,0.36905312008933144
GB DEF = CD282 protein,0.4275474668622755,0.3690156623346674
SCN1B Sodium channel; voltage-gated; type I; beta polypeptide,0.4276122257046763,0.36894988653113664
Normal keratinocyte mRNA,0.427680670281699,0.3688803779398222
Keratinocyte lectin 14 (HKL-14) mRNA,0.4280654586654866,0.3684898147169476
Unknown protein B mRNA,0.42843535625811713,0.3681146965838716
GLCLC Glutamate-cysteine ligase (gamma-glutamylcysteine synthetase); catalytic (72.8kD),0.42862991768738823,0.3679175191712665
GB DEF = Core 2 beta-1;6-N-acetylglucosaminyltransferase (core 2 GnT) gene; exon 1,0.4289322156744666,0.3676113341194571
Myelin oligodendrocyte glycoprotein (MOG),0.42914697605211616,0.367393943347623
Gal Beta 1;3(4)Glcnac Alpha2;3-Sialyltransferase,0.42928778783007937,0.36725146594275104
TTPA Tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency),0.4293475080181086,0.3671910534526367
D13S106 mRNA for a highly charged amino acid sequene,0.42934761246674624,0.36719094780054695
Gps1 (GPS1) mRNA,0.4293858636026746,0.3671522576650529
F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,0.4295319140181618,0.3670045627592313
FUCA1 Fucosidase; alpha-L- 1; tissue,0.42956973059422543,0.3669663285632604
GPV gene encoding platelet glycoprotein V precursor,0.4296388586727212,0.3668964457816516
Dual specific protein phosphatase mRNA,0.42973946781758354,0.3667947583285347
Cellular adhesion regulatory molecule [human; mRNA; 429 nt],0.43028638981632805,0.36624239066191744
HLON ATP-dependent protease mRNA; nuclear gene encoding  mitochondrial protein,0.4304243548695059,0.36610316279198846
Brain and reproductive organ-expressed protein (BRE) gene,0.4307320561878969,0.3657928057218378
hum_alu_at (miscellaneous control),0.4308550096799558,0.36566885301732355
BMI1 Murine leukemia viral (bmi-1) oncogene homolog,0.4308896859126834,0.36563390137419327
C5 Complement component C5,0.43104988563468216,0.3654724657971198
IGF2R Insulin-like growth factor 2 receptor,0.43108031881218534,0.36544180462553866
ANT3 Adenine nucleotide translocator 3 (liver),0.4312257857861227,0.36529527776148757
CYP2A7 Cytochrome P450; subfamily IIA (phenobarbital-inducible); polypeptide 7,0.43130971756191494,0.36521075693409794
CYP2A7 Cytochrome P450; subfamily IIA (phenobarbital-inducible); polypeptide 7,0.43130971756191494,0.36521075693409794
CDC25C Cell division cycle 25C,0.43166929635565177,0.3648488406129632
MUC18 gene (melanoma associated glycoprotein) extracted from H.sapiens MGF gene exons 1&2,0.4318082676865789,0.364709046632902
GB DEF = SSX3=Kruppel-associated box containing SSX gene [human; testis; mRNA Partial; 675 nt],0.43200808086484654,0.36450812947631783
GB DEF = Neurotrophin-3 (NT-3) gene,0.4325652258715357,0.3639483966378563
Putative RNA binding protein (DAZH) mRNA,0.4326707031148789,0.36384251063973116
Nuclear RNA helicase,0.4326726357982009,0.3638405707075348
SHOX gene (SHOXb) extracted from Human shox gene; alternatively spliced products,0.4327488818739127,0.36376404557069014
Pancreatic lipase related protein 2 (PLRP2) mRNA,0.4328863142067122,0.36362614428261486
KERATIN; TYPE II CYTOSKELETAL 2 EPIDERMAL,0.4329001530428339,0.36361226065104635
PMM1 Phosphomannomutase,0.4332671322370154,0.3632442554140644
SPN Sialophorin (gpL115; leukosialin; CD43),0.4335703296575453,0.36294044535088255
RPL17 Ribosomal protein L7,0.4335746007767288,0.3629361671191179
FRAGILE X MENTAL RETARDATION 1 PROTEIN,0.4338912908215462,0.3626190670547113
H4/g gene for H4 histone,0.4341443321315638,0.36236586443297275
IFNA10 Interferon; alpha 10,0.4341461817640707,0.3623640141647078
IFNA10 Interferon; alpha 10,0.4341461817640707,0.3623640141647078
CCND2 Cyclin D2,0.43424737256399104,0.36226280059396065
GB DEF = mRNA clone with similarity to L-glycerol-3-phosphate:NAD oxidoreductase and albumin gene sequences,0.434471407284707,0.36203879934666255
Nuclear antigen H731 mRNA,0.43485903526378267,0.36165150196177603
RORA RAR-related orphan receptor A,0.434989853550502,0.36152087315667397
MUC1 Mucin 1; transmembrane,0.435016280827931,0.36149448892716307
MUC1 Mucin 1; transmembrane,0.435016280827931,0.36149448892716307
Transcription factor E2F like protein [human; mRNA; 2492 nt],0.4350763120157678,0.3614345614806467
Transcription factor E2F like protein [human; mRNA; 2492 nt],0.4350763120157678,0.3614345614806467
ACR Acrosin,0.43554883341508466,0.36096314514829964
Putative potassium channel subunit (h-erg) mRNA,0.43561057215530075,0.3609015885742239
LGN protein mRNA,0.43585073691891896,0.36066221539002974
Omega Light Chain; Immunoglobulin Lambda Light Chain Related,0.43605712627844906,0.3604566116435217
HPTPA mRNA,0.4363080868361341,0.36020673742399506
HPTPA mRNA,0.4363080868361341,0.36020673742399506
KIAA0249 gene,0.4365005140057959,0.36001524055005085
Phosphoglycerate kinase {alternatively spliced} [human; phosphoglycerate kinase deficient patient with episodes of muscl; mRNA Partial Mutant; 307 nt],0.43653206599870653,0.35998384915244686
